gps_period,results_dir,n_trials,mean_ape_diff_m,std_ape_diff_m,sem_ape_diff_m,ggd_wins,ggd_losses,ggd_ties,ttest_stat,ttest_p,wilcoxon_stat,wilcoxon_p
1,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/references_robust_kernels_period_1,30,0.34947977261750013,0.4518758375502797,0.08250086313927606,,,,4.236074136915591,0.00021002054243520832,43.0,9.711048976071607e-05
2,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/references_robust_kernels_period_2,30,0.4448041802791087,0.4508656575314863,0.082316430344798,,,,5.403589276356638,8.265919057796682e-06,26.0,2.1630223983536902e-05
4,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_4,30,0.1769605268299838,0.5173890363091282,0.094461882064123,,,,1.8733538117508477,0.07113018965758151,154.0,0.10639417319061394
6,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_6,30,0.33550903059013354,0.6100257849552841,0.11137496102660158,,,,3.01242781588941,0.005331146508019965,90.0,0.003378854437718857
8,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_8,30,0.31406159080419127,0.6482040049604836,0.11834531846068248,,,,2.6537728309762505,0.012782885381024525,119.0,0.019569215233846395
10,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_10,30,0.17402082359371163,0.6216841629293389,0.11350347989337196,,,,1.5331761084082283,0.13607065061003656,163.0,0.15286069407970188
14,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_14,30,0.09993763315523137,0.6165119654893064,0.11255917015677987,,,,0.8878675368344633,0.3819170205141087,224.0,0.8612125197358381
18,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_18,30,0.08313172479065926,0.7283127970591431,0.13297111595632496,,,,0.625186336090947,0.5367377038774712,199.0,0.49079849348995086
22,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_22,30,-0.0024958485105005417,0.7895166445168544,0.14414535857588953,,,,-0.017314803162299046,0.9863040552605712,230.0,0.958990172136891
26,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_26,30,0.09112382361213202,0.7182472016064942,0.13113339806161256,,,,0.6948940922686822,0.4926522167387689,181.0,0.2894770717054542
30,/home/zwang/UCL/Final_project/g2o_example/test_results/gnd_beta_study/gps_period_sweep/period_30,30,-0.1661726291768371,1.0021343938043574,0.18296387104613732,,,,-0.9082264614686358,0.3712447095474487,189.0,0.37093530784512463
