test_idx,kernel,baseline,ape_rel_improvement,mse_rel_improvement,ape_abs_reduction_m
0,ggd,gaussian,-0.6481526351958148,-2.2081841573827066,-0.23919956674001064
0,huber,gaussian,-6.694879719769429e-05,-0.00011413362325876464,-2.4707333448725777e-05
0,tukey,gaussian,-0.2589630281428944,-0.63513955774603,-0.09556984075941855
0,geman_mcclure,gaussian,-0.3773791019481171,-1.0495254832436813,-0.13927108026869717
1,ggd,gaussian,0.869862080079333,0.98662086027776,0.34485217560775255
1,huber,gaussian,-6.236509895680208e-06,-1.4379738581956452e-05,-2.4724310381807335e-06
1,tukey,gaussian,0.1519190629193859,0.30463169719021205,0.06022750107610536
1,geman_mcclure,gaussian,0.38361804347421485,0.6479068925301978,0.15208332438449
2,ggd,gaussian,0.49288856880650567,0.7348627682066894,0.07657474189818553
2,huber,gaussian,-1.2475471699374764e-05,-2.234555150306871e-05,-1.9381784969185745e-06
2,tukey,gaussian,0.10947136671090946,0.20105403675118633,0.017007376883232894
2,geman_mcclure,gaussian,0.24979263701008378,0.4284394379687327,0.03880756811510343
3,ggd,gaussian,0.5044180763691138,0.8388825139711494,0.3567525754562664
3,huber,gaussian,2.3794599469805474e-05,3.879511127341562e-05,1.6828866847728996e-05
3,tukey,gaussian,-0.4574858595735559,-1.2398910349665422,-0.32355949614751633
3,geman_mcclure,gaussian,-0.5172451172394155,-1.3390532981957113,-0.36582457362671716
4,ggd,gaussian,0.39064907232562474,0.6909822380059735,0.2479667871377837
4,huber,gaussian,-1.3317585881768135e-05,-4.405192219743915e-05,-8.453415654807728e-06
4,tukey,gaussian,-1.6147610359471254,-6.397927568851216,-1.0249790270724857
4,geman_mcclure,gaussian,-1.5433213852926178,-6.021668174500596,-0.9796322903156711
5,ggd,gaussian,0.5070339025218209,0.7955107215740426,0.42516567551303075
5,huber,gaussian,2.4421700201541116e-05,1.2207123018626763e-05,2.047845047781216e-05
5,tukey,gaussian,-0.1486363383026307,-0.20856924535346644,-0.12463677254303851
5,geman_mcclure,gaussian,-0.10289560796224087,-0.09465052251455217,-0.08628156904105122
6,ggd,gaussian,0.7241224570011352,0.9084472713485805,0.5921646584106519
6,huber,gaussian,-1.0175070216413548e-05,-1.2065771562897676e-05,-8.320853635668257e-06
6,tukey,gaussian,-0.2910422626080612,-0.6249679280525731,-0.2380052439391417
6,geman_mcclure,gaussian,-0.31272808542292546,-0.6584050904685675,-0.2557392304152687
7,ggd,gaussian,0.7979653642342133,0.9603197462871192,0.6224747566505263
7,huber,gaussian,-4.8703842702568884e-05,-0.0001005061501105784,-3.799276759752779e-05
7,tukey,gaussian,-0.529620701024078,-1.3563499092707476,-0.4131451460971933
7,geman_mcclure,gaussian,-1.131667611049291,-3.463355035297998,-0.8827883419140847
8,ggd,gaussian,0.33687774609791715,0.5542267804840535,0.11152876211748897
8,huber,gaussian,-4.6340386252253984e-05,-9.907662629432761e-05,-1.5341725520978677e-05
8,tukey,gaussian,0.2965433447522381,0.4914411424392138,0.09817541389268208
8,geman_mcclure,gaussian,0.7383119806000082,0.9273673735444717,0.24442998151886403
9,ggd,gaussian,0.6429092563371337,0.8499310658778015,0.5789416762898576
9,huber,gaussian,-1.889095083984085e-06,-2.9172844979908727e-06,-1.7011356794327526e-06
9,tukey,gaussian,0.015915042027972844,-0.046162358489579065,0.014331542156342025
9,geman_mcclure,gaussian,0.11361380407812144,0.09879977785037423,0.10230956473920028
10,ggd,gaussian,-0.05547168903810825,-0.02795561478435177,-0.010364513412702364
10,huber,gaussian,-6.704836095306015e-05,-0.0001239468814286307,-1.252753699135245e-05
10,tukey,gaussian,-0.07851418102461229,-0.11311930243850202,-0.014669848645818107
10,geman_mcclure,gaussian,-0.0878359474974476,-0.11204903283491943,-0.016411558251440667
11,ggd,gaussian,0.3123968390837946,0.549070247950631,0.20697337477544914
11,huber,gaussian,1.130060706870509e-05,-1.7565755692452803e-05,7.487030883157608e-06
11,tukey,gaussian,-0.06652222127806316,-0.1384448419039217,-0.04407320085523281
11,geman_mcclure,gaussian,0.08753492304064368,0.09503283601383342,0.05799481993981248
12,ggd,gaussian,0.6487108137819345,0.937598543005332,0.4021660568727508
12,huber,gaussian,-2.51743097995564e-06,-1.4793584678016514e-05,-1.560672751477199e-06
12,tukey,gaussian,0.03793609499664523,-0.05835035708806971,0.023518352729478997
12,geman_mcclure,gaussian,0.012393604616662425,0.052344309182138185,0.007683372919383036
13,ggd,gaussian,0.6331094664532937,0.8637522967635439,1.4308621486127324
