gps_period,results_dir,n_trials,ape_mean_gaussian_m,ape_mean_ggd_m,ape_median_gaussian_m,ape_median_ggd_m,ggd_wins,ggd_losses,ggd_ties,mean_ape_diff_m,ttest_stat,ttest_p,wilcoxon_stat,wilcoxon_p
1,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/references_robust_kernels_period_1,30,0.7216483438696789,0.3721685712521786,0.6580766268898103,0.287143729428987,25,5,0,0.34947977261750013,4.236074136915591,0.00021002054243520832,43.0,9.711048976071607e-05
2,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/references_robust_kernels_period_2,30,0.8257481059059925,0.3809439256268839,0.7436656712026735,0.32437225703734246,27,3,0,0.4448041802791087,5.403589276356638,8.265919057796682e-06,26.0,2.1630223983536902e-05
4,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_4,30,0.6391099694276751,0.4621494425976912,0.43092251355369815,0.3548274314963624,18,12,0,0.1769605268299838,1.8733538117508477,0.07113018965758151,154.0,0.10639417319061394
6,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_6,30,0.8264403943509613,0.49093136376082774,0.6463040951076243,0.3761645327016795,23,7,0,0.33550903059013354,3.01242781588941,0.005331146508019965,90.0,0.003378854437718857
8,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_8,30,0.7841014622280044,0.47003987142381287,0.5766617500975619,0.3863951463453583,21,9,0,0.31406159080419127,2.6537728309762505,0.012782885381024525,119.0,0.019569215233846395
10,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_10,30,0.6964109170964208,0.522390093502709,0.46347047706656164,0.3672950789215662,19,11,0,0.17402082359371163,1.5331761084082283,0.13607065061003656,163.0,0.15286069407970188
14,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_14,30,0.6513967452192694,0.551459112064038,0.3421986374646958,0.3801889390840033,14,16,0,0.09993763315523137,0.8878675368344633,0.3819170205141087,224.0,0.8612125197358381
18,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_18,30,0.7240153830585127,0.6408836582678533,0.35263411266776523,0.37344501431402133,18,12,0,0.08313172479065926,0.625186336090947,0.5367377038774712,199.0,0.49079849348995086
22,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_22,30,0.6894286532567825,0.6919245017672829,0.31436935976280067,0.3768244252915636,13,17,0,-0.0024958485105005417,-0.017314803162299046,0.9863040552605712,230.0,0.958990172136891
26,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_26,30,0.7199577140965265,0.6288338904843942,0.3145752852556004,0.3974441478310516,18,12,0,0.09112382361213202,0.6948940922686822,0.4926522167387689,181.0,0.2894770717054542
30,/home/zwang/UCL/Final_project/g2o_example/test_results/ggd_beta_study/gps_period_sweep/period_30,30,0.6032003182269338,0.7693729474037706,0.32244347135054263,0.35780114065887003,12,18,0,-0.1661726291768371,-0.9082264614686358,0.3712447095474487,189.0,0.37093530784512463
