test_idx,baseline_ape_m,best_kernel,best_ape_m,hard_for_baseline
0,0.3690482052391032,gaussian,0.3690482052391032,False
1,0.39644465887776303,gnd,0.05159248327001046,False
2,0.15535913539972285,gnd,0.07878439350153732,False
3,0.707255731246254,gnd,0.3505031557899876,False
4,0.63475585814547,gnd,0.3867890710076863,False
5,0.8385350040665834,gnd,0.4133693285535527,False
6,0.8177686697675827,gnd,0.22560401135693076,False
7,0.7800774125677739,gnd,0.15760265591724756,False
8,0.3310659828657009,geman_mcclure,0.08663600134683684,False
9,0.9005029412522064,gnd,0.3215612649623489,False
10,0.1868432995718247,gaussian,0.1868432995718247,False
11,0.6625335114864347,gnd,0.45556013671098555,False
12,0.6199465899576321,gnd,0.21778053308488127,False
13,2.260054894816979,gnd,0.8291927462042465,True
14,0.33527209585279205,gnd,0.10317991386097632,False
15,1.2967632045202548,gnd,0.9448490200546634,True
16,0.9900359737996636,gnd,0.3781396245065312,True
17,1.487034686091812,gnd,0.6993547678561071,True
18,1.5006088469141472,gnd,0.6671539886617276,True
19,1.763184429052618,gnd,0.3726843215260496,True
20,0.2808520085887421,gnd,0.18599549311199995,False
21,0.9101467748421436,gnd,0.7328606008516539,False
22,0.23583778893507268,gnd,0.05854690634047953,False
23,0.5007820507851857,gaussian,0.5007820507851857,False
24,1.9393447085402076,gnd,0.32620523874124013,True
25,0.9701670359153565,gnd,0.2513534507754573,False
26,0.5982895510398691,gnd,0.21826885088026649,False
27,1.4641511502687854,gnd,0.8436353459704198,True
28,0.7876109021402139,gnd,0.20178351717933893,False
29,0.0521763128086773,geman_mcclure,0.04036692213712498,False
